"shared_fn" "total_fn" "share_percentage_fn" "coverage_line_count" "total_line_count" "coverage_percentage" "coverage_bucket" "contrib_count" "commit_count" "branch_count"
"gatein-portal" 1397 7433 18.7920365886468 13690 24733 55.3511502850443 "60%" 49 3470 2
"jessica" 504 1487 33.8709677419355 0 19790 0 "0%" 1 5 2
"mirror" 24 295 8.10810810810811 3880 4669 83.1013064896123 "80%" 6 195 2
"jolokia" 210 1135 18.4859154929577 23232 26954 86.1912888625065 "90%" 10 758 7
"compress" 51 172 29.4797687861272 5583 7834 71.2662752106204 "70%" 5 138 3
"scriptus" 58 330 17.5226586102719 3733 7797 47.8773887392587 "50%" 1 71 3
"jsoup" 142 965 14.6997929606625 21071 27178 77.5296195452204 "80%" 14 523 3
"jackson-core" 174 1163 14.9484536082474 24677 36837 66.9897114314412 "70%" 6 123 4
"mahout" 1262 6368 19.8147275867483 19432 37100 52.377358490566 "50%" 20 2347 3
"inspektr" 15 90 16.4835164835165 0 850 0 "0%" 7 139 4
"sat3" 39 450 8.64745011086474 11654 15930 73.157564344005 "70%" 3 98 2
"bobo" 420 2377 17.6619007569386 31100 68519 45.3888702403713 "50%" 24 644 11
"snappy" 26 125 20.6349206349206 12159 13326 91.2426834759117 "90%" 7 49 3
"camel-nailgun" 119 300 39.5348837209302 0 2875 0 "0%" 2 21 2
"Spoutcraft-Launcher" 152 547 27.7372262773723 0 9023 0 "0%" 20 424 5
"org.ops4j.pax.web" 261 1302 20.0306983883346 1859 27828 6.68032197786402 "10%" 41 1443 10
"hadoop-pcap" 13 55 23.2142857142857 715 1292 55.3405572755418 "60%" 2 29 2
"vmrun-java-wrapper" 3 31 9.375 0 444 0 "0%" 1 19 2
"selenium-plugin" 15 41 35.7142857142857 0 658 0 "0%" 14 177 3
"antlr" 811 3265 24.8315982853644 0 119140 0 "0%" 3 44 4
"sbt-plugin" 8 19 40 0 237 0 "0%" 8 35 2
"Wormhole-X-Treme-Worlds-Spawn" 6 17 33.3333333333333 0 145 0 "0%" 2 4 2
"sitemesh3" 119 491 24.1869918699187 7307 10580 69.0642722117202 "70%" 9 225 2
"Hive-JSON-Serde" 177 218 80.8219178082192 777 8108 9.583127775037 "10%" 2 10 3
"otto" 16 46 34.0425531914894 1039 1252 82.9872204472843 "80%" 12 72 5
"markdownj" 11 66 16.4179104477612 2609 2774 94.0519105984138 "90%" 3 58 4
"sitebricks" 197 1212 16.2407254740313 17205 32423 53.064182833174 "50%" 25 636 7
"embedmongo.flapdoodle.de" 5 53 9.25925925925926 0 1383 0 "0%" 8 279 2
"CommandBlock" 2 4 40 0 104 0 "0%" 2 3 2
"org.ops4j.pax.wicket" 153 475 32.1428571428571 1275 11813 10.7931939388809 "10%" 23 682 7
"openshift-java-client" 156 631 24.6835443037975 6425 10172 63.1635863153755 "60%" 7 64 3
"statshtable" 16 79 20 1991 3030 65.7095709570957 "70%" 3 38 7
"Octobot" 9 37 23.6842105263158 381 1939 19.6493037648272 "20%" 6 19 2
"twilio-java" 81 445 18.1614349775785 453 6451 7.02216710587506 "10%" 15 89 4
"stream-lib" 67 231 28.8793103448276 6992 8561 81.6727017871744 "80%" 6 78 4
"css-selectors" 14 64 21.5384615384615 67389 67641 99.6274448928904 "100%" 2 11 2
"KeptCollections" 71 124 56.8 0 2912 0 "0%" 6 30 2
"agoncal-application-petstore-ee6" 104 245 42.2764227642276 0 2612 0 "0%" 8 75 2
"unplutofy" 4 38 10.2564102564103 167 1209 13.8130686517783 "10%" 1 11 2
"txtmark" 4 147 2.7027027027027 0 2699 0 "0%" 5 49 3
"rewrite" 275 1584 17.3501577287066 5057 20417 24.7685752069354 "20%" 4 484 3
"skype-java-api" 136 721 18.8365650969529 3302 16092 20.519512801392 "20%" 5 128 3
"jredis" 165 1373 12.0087336244541 4468 24381 18.3257454575284 "20%" 9 309 5
"skmclauncher" 150 668 22.4215246636771 0 10702 0 "0%" 4 41 2
"google-app-engine-jappstart" 38 124 30.4 0 960 0 "0%" 4 253 3
"robotium" 5 269 1.85185185185185 0 2365 0 "0%" 18 698 2
"OrientDB" 828 3622 22.8539884073972 16987 74611 22.7674203535672 "20%" 2 1106 3
"atmosphere" 691 2923 23.6320109439124 9007 35970 25.0403113705866 "30%" 40 2433 8
"hs4j" 385 1685 22.8351126927639 0 13367 0 "0%" 9 77 2
"prevayler" 102 580 17.5559380378657 573 728 78.7087912087912 "80%" 13 593 7
"MBeanToucher" 11 32 33.3333333333333 0 416 0 "0%" 1 1 2
"console-linenumber-plugin" 3 10 27.2727272727273 33 130 25.3846153846154 "30%" 1 3 2
"jitescript" 6 230 2.5974025974026 599 3002 19.9533644237175 "20%" 7 113 4
"jesque" 85 342 24.7813411078717 0 5281 0 "0%" 3 164 8
"spring-mvc-31-demo" 11 48 22.4489795918367 0 495 0 "0%" 2 11 2
"meteo" 103 241 42.5619834710744 994 5753 17.2779419433339 "20%" 1 26 2
"shell-task-pool" 22 55 39.2857142857143 573 1855 30.8894878706199 "30%" 2 89 2
"cli-test" 10 38 25.6410256410256 756 1127 67.0807453416149 "70%" 1 28 2
"query" 50 577 8.65051903114187 6333 7804 81.1506919528447 "80%" 10 169 4
"cassandra-tutorial" 14 42 32.5581395348837 0 934 0 "0%" 3 60 3
"cdk" 994 10002 9.9370188943317 0 238842 0 "0%" 91 12659 28
"java-classmate" 98 318 30.7210031347962 0 6126 0 "0%" 3 103 3
"gelfj" 29 80 35.8024691358025 701 1482 47.3009446693657 "50%" 18 80 2
"forge-curl-plugin" 2 13 14.2857142857143 0 236 0 "0%" 1 2 2
"fongo" 3 106 2.80373831775701 4279 4588 93.2650392327812 "90%" 1 74 2
"ols" 400 2757 14.5032632342277 3286 15848 20.7344775365977 "20%" 9 821 14
"docx4j" 1834 19458 9.42494475564006 0 187279 0 "0%" 8 1865 13
"greplin-bloom-filter" 5 59 8.33333333333333 1692 2196 77.0491803278689 "80%" 3 29 2
"hoop" 71 307 23.0519480519481 9268 11470 80.8020924149956 "80%" 2 8 3
"cli" 14 119 11.6666666666667 1288 1330 96.8421052631579 "100%" 2 8 2
"bible4j" 48 214 22.3255813953488 4714 11956 39.4279023084644 "40%" 1 180 4
"eurekastreams" 795 6577 12.0857403466099 80656 97503 82.7215572854169 "80%" 23 2491 12
"hector-examples" 9 9 90 0 419 0 "0%" 1 37 3
"perf4j" 106 404 26.1728395061728 7209 9935 72.5616507297433 "70%" 11 135 2
"maven-jetty-pluto-embedded" 37 42 86.046511627907 0 403 0 "0%" 3 45 4
"Vanilla" 893 3364 26.5378900445765 23676 92891 25.4879374751052 "30%" 55 1735 3
"speed4j" 30 112 26.5486725663717 1905 3008 63.3311170212766 "60%" 4 112 3
"wikihadoop" 11 36 29.7297297297297 1668 1884 88.5350318471338 "90%" 4 38 4
"tatami" 58 363 15.9340659340659 732 8718 8.39642119752237 "10%" 14 713 4
"storm-contrib" 627 1406 44.5628997867804 0 13450 0 "0%" 11 155 6
"SpoutPlugin" 1290 3644 35.3909465020576 0 26620 0 "0%" 65 1797 4
"leveldbjni" 47 247 18.9516129032258 0 2105 0 "0%" 2 65 4
"springfaces" 200 1148 17.4064403829417 16561 17839 92.8359212960368 "90%" 3 523 2
"emite" 207 1202 17.2069825436409 7857 17340 45.3114186851211 "50%" 9 292 4
"graphviz4java" 17 58 28.8135593220339 803 953 84.2602308499475 "80%" 1 5 2
"sicci_for_xcode" 7 160 4.34782608695652 15 4795 0.312825860271116 "0%" 1 89 2
"hibernate-memcached" 24 139 17.1428571428571 1215 2013 60.3576751117735 "60%" 5 134 4
"drools-planner" 648 3863 16.7701863354037 15373 84265 18.2436361478668 "20%" 32 2458 6
"logback" 723 2609 27.7011494252874 34363 58205 59.0378833433554 "60%" 28 2463 8
"cometd" 283 1276 22.1613155833986 18422 25717 71.6335497919664 "70%" 10 2099 4
"Iglu-Telnet-Server" 6 15 37.5 0 187 0 "0%" 1 11 2
"Vault" 130 1159 11.2068965517241 0 9730 0 "0%" 27 487 4
"UnknownCommand" 4 7 50 0 245 0 "0%" 2 3 2
"spring-data-commons" 164 817 20.0488997555012 10536 13985 75.3378619949946 "80%" 16 440 6
"cas" 222 1295 17.1296296296296 5495 24507 22.4221650956869 "20%" 20 467 6
"byteman" 294 1418 20.7188160676533 0 31780 0 "0%" 9 548 9
"lesscss-maven-plugin" 2 4 40 35 582 6.01374570446735 "10%" 2 14 2
"microsoft-translator-java-api" 4 52 7.54716981132075 1102 2154 51.1606313834726 "50%" 2 173 3
"cli-parser" 0 21 0 887 1148 77.2648083623693 "80%" 2 34 2
"REST" 67 372 17.9624664879357 1076 6020 17.8737541528239 "20%" 2 254 2
"pipes" 103 437 23.5159817351598 5054 6706 75.3653444676409 "80%" 9 386 2
"basex-api" 63 298 21.0702341137124 0 5530 0 "0%" 33 1101 3
"jline2" 116 419 27.6190476190476 0 7556 0 "0%" 20 496 4
"git-like-cli" 44 161 27.1604938271605 4671 5846 79.9007868628122 "80%" 2 36 3
"maven-remote-exec-plugin" 6 20 28.5714285714286 0 210 0 "0%" 1 35 2
"jclouds-chef" 127 528 24.007561436673 4445 10025 44.3391521197007 "40%" 5 72 3
"rest-assured" 419 1728 24.2336610757663 20975 87683 23.9213986747716 "20%" 8 558 3
"tomighty" 108 541 19.9261992619926 216 446 48.4304932735426 "50%" 13 338 2
"akela" 30 111 26.7857142857143 553 5426 10.1916697382971 "10%" 4 82 4
"hbase-book" 130 340 38.1231671554252 0 21866 0 "0%" 3 141 2
"Hash" 5 24 20 787 881 89.3303064699205 "90%" 3 10 2
"opensub-cmd" 27 107 25 0 1464 0 "0%" 1 4 2
"jade4j" 91 349 26 6650 7943 83.7215158000755 "80%" 6 63 3
"twitter4j" 1049 3439 30.4941860465116 17331 54560 31.7650293255132 "30%" 54 1345 5
"hbase-dsl" 12 250 4.7808764940239 0 2328 0 "0%" 4 21 2
"Multiverse-Core" 181 873 20.7093821510297 8344 29070 28.703130374957 "30%" 17 870 12
"follow" 107 318 33.5423197492163 3757 10141 37.04762843901 "40%" 6 198 2
"msgpack-java" 285 1169 24.3589743589744 12685 18799 67.4769934570988 "70%" 7 406 3
"jcommander" 28 188 14.8148148148148 0 4517 0 "0%" 21 449 2
"stringtemplate4" 171 550 31.0344827586207 0 20788 0 "0%" 7 528 2
"nash" 60 162 36.8098159509202 0 1667 0 "0%" 2 12 2
"jmxstat" 1 9 10 0 234 0 "0%" 2 27 2
"clj-ds" 330 1730 19.0641247833622 5155 27529 18.725707435795 "20%" 3 29 2
"hawtdispatch" 171 798 21.4017521902378 1869 12051 15.5090863828728 "20%" 3 276 2
"greplin-zookeeper-utils" 8 22 34.7826086956522 568 968 58.6776859504132 "60%" 1 7 2
"Bukkit" 2041 3092 65.9877141933398 15171 64579 23.4921568931077 "20%" 87 1172 3
"mvel" 471 2699 17.4444444444444 57916 104590 55.3743187685247 "60%" 13 2594 7
"stripe-java" 102 471 21.6101694915254 0 2789 0 "0%" 14 75 5
